time,open,high,low,close,Volume,Volume MA,Developing Poc,Developing VA High,Developing VA Low,Futures Open Interest,Crypto Open Interest (Ouverture),Crypto Open Interest (Haut,Crypto Open Interest (Bas),Crypto Open Interest (Fermeture)
1624852800,34390.66,35279.38,34265.59,35007.58,109085.489,164805.99870000017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624867200,35006.22,35136.14,33920,34099.32,149844.361,165323.01740000016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624881600,34098.1,34949,33855,34946.66,145527.58,166327.94705000013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624896000,34947.41,35000,33932.68,34425.01,124241.965,164559.57625000013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624910400,34425,34820,34102,34487.22,72013.94,154610.41770000014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624924800,34486.58,35178,34206,34564.83,109533.22,147249.52325000014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624939200,34564.84,35450,34523.5,34841.15,140492.205,147235.96130000014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624953600,34841.15,35760,34711.72,35544.42,162248.762,148996.62450000012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624968000,35544.42,36422.5,35320,36244.89,198904.511,149900.19375000012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624982400,36244.88,36623,36040,36375.62,106730.854,141188.9050000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624996800,36375.89,36478.76,35733.3,35911.26,88230.777,133372.38660000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625011200,35910.64,36089.96,34936.42,35113.99,109730.664,131347.22100000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625025600,35114,35285,34661.23,35227.67,132278.45,132572.7720500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625040000,35227.68,35328,34401,34844.89,140443,131581.0288500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625054400,34844.9,35002.3,34060,34191.68,135303.437,132047.0968500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625068800,34191.69,34892.87,34042.74,34747.31,102171.245,128085.64315000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625083200,34744.91,35191,34360,35031.39,99816.187,125204.88185000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625097600,35031.39,35044.98,34120,34120.06,97951.238,124941.46220000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625112000,34120.06,34449,33264.8,33337.58,152280.714,124113.69045000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625126400,33338.99,33746.06,32968,33696.91,157211.866,126702.02325000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625140800,33696.91,33844,33050,33417.74,149194.479,128707.47275000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625155200,33417.74,33639.21,32672.04,33072.19,119804.51,127205.48020000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625169600,33072.19,33639.5,33070.35,33489.96,82523.686,124055.28550000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625184000,33489.96,33960,32750,32896.63,111014.329,123393.90370000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625198400,32896.62,33498.18,32684,33340.17,113926.589,125489.53615000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625212800,33340.18,33600,32751,33007.96,139426.24,126984.18715000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625227200,33008.71,33700,32850,33684.88,142738.639,127096.50885000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625241600,33686.5,33788,33100,33300.34,83584.537,123163.29760000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625256000,33300.34,33880,33012,33760.94,74232.868,116929.71545000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625270400,33760.94,33892.72,33296.98,33500.95,65438.064,114865.07595000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625284800,33500.21,34650,33425.84,34477.46,112981.759,116102.62505000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625299200,34476.47,34775,34372.09,34596.42,104888.501,115860.51690000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625313600,34596.43,34800,34459.66,34592.56,77290.813,113111.13505000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
